,0.03125,0.125,0.5,2,8,32,128,512,2048,8192,32768
0.03125,10.37%,17.87%,16.81%,19.91%,21.38%,21.65%,21.81%,20.83%,19.82%,19.52%,19.42%
0.125,17.87%,16.81%,19.91%,21.38%,21.65%,21.81%,20.83%,19.82%,19.52%,19.42%,19.54%
0.5,16.81%,19.91%,21.38%,21.65%,21.81%,20.83%,19.82%,19.52%,19.42%,19.54%,19.21%
2,19.91%,21.38%,21.65%,21.81%,20.83%,19.82%,19.52%,19.42%,19.54%,19.21%,16.97%
8,21.38%,21.65%,21.81%,20.83%,19.82%,19.52%,19.42%,19.54%,19.21%,16.97%,17.74%
32,21.65%,21.81%,20.83%,19.82%,19.52%,19.42%,19.54%,19.21%,16.97%,17.74%,13.48%
128,21.81%,20.83%,19.82%,19.52%,19.42%,19.54%,19.21%,16.97%,17.74%,13.48%,14.92%
21.81%,,,,,,,,,,,
