, 0.03125,0.125,0.5,2,32,8,128,512,2048,8192,32768,
3e-05,10.3687%,10.3687%,10.3687%,10.3687%,10.3687%,10.3687%,17.8802%,16.7512%,19.8618%,21.371%,21.6705%,
0.0001,10.3687%,10.3687%,10.3687%,10.3687%,17.6728%,10.3687%,16.6014%,19.5968%,21.3479%,21.6129%,21.7857%,
0.0005,10.3687%,10.3687%,10.3687%,10.3687%,16.947% ,17.9839%,19.9309%,21.371% ,  21.7051%,  21.8433%,  20.8525%,
0.002,  10.3687%,  10.3687%,  10.3687%,  17.9839%,  19.9309%,  16.947% ,  21.371% ,  21.7051%,  21.8433%,  20.8525%,  19.7926%,
0.008,  10.3687%,  10.3687%,  17.9839%,  16.947% ,  21.371% ,  19.9309%,  21.7051%,  21.8433%,  20.8525%,  19.7926%,  19.5968%,
0.03125,  10.3687% ,  17.8687%,  16.8088%,  19.9078%,  21.6475%,  21.3825%,  21.8088%,  20.8295%,  19.8157%,  19.5161%,  19.424%,
0.125,  17.8687%,  16.8088%,  19.9078%,  21.3825%,  21.8088%,  21.6475%,  20.8295%,  19.8157%,  19.5161%,  19.424%,  19.5392%,
0.5,  16.8088%,  19.9078%
