,0.03125,0.125,0.5,2,8,32,128,512,2048,8192,32768
3.00E-05,60.22%,60.16%,60.52%,60.89%,62.47%,62.10%,61.86%,61.86%,61.86%,61.74%,61.80%
0.0001,60.22%,60.34%,60.89%,62.41%,62.04%,61.86%,61.86%,61.86%,61.62%,61.92%,61.86%
0.0005,60.46%,61.01%,62.47%,62.04%,61.80%,61.86%,61.80%,61.62%,62.04%,61.92%,56.45%
0.002,61.01%,62.47%,62.04%,61.80%,61.86%,61.80%,61.62%,62.04%,61.92%,56.45%,60.83%
0.008,62.47%,62.04%,61.80%,61.86%,61.80%,61.62%,62.04%,61.92%,56.45%,60.83%,59.91%
0.03125,62.10%,61.86%,61.86%,61.86%,61.74%,61.92%,61.56%,56.27%,49.09%,59.61%,58.21%
0.125,61.86%,61.86%,61.86%,61.74%,61.92%,61.56%,56.27%,49.09%,59.61%,58.21%,57.66%
0.5,61.86%,61.86%,61.74%,61.92%,61.56%,56.27%,49.09%,59.61%,58.21%,57.66%,54.87%
2,61.86%,61.74%,61.92%,61.56%,56.27%,49.09%,59.61%,58.21%,57.66%,54.87%,56.81%
8,61.74%,61.92%,61.56%,56.27%,49.09%,59.61%,58.21%,57.66%,54.87%,56.81%,55.72%
32,61.92%,61.56%,56.27%,49.09%,59.61%,58.21%,57.66%,54.87%,56.81%,55.72%,54.44%
128,61.56%,56.27%,49.09%,59.61%,58.21%,57.66%,54.87%,56.81%,55.72%,54.44%,54.81%
62.47%,,,,,,,,,,,
