, 0.03125,0.125,0.5,2,8,32,128,512,2048,8192,
3e-05,24.6602%,24.8178%,24.7784%,25.1526%,25.9602%,26.9057%,27.1026%,26.9844%,26.9844%,27.1814%,
0.0001,24.7784%,24.6405%,25.133%,25.9208%,26.8269%,27.2405%,26.9844%,27.0435%,27.1223%,27.1223%,
0.0005,24.739%,25.1526%,25.9996%,26.9057%,27.0829%,26.945%,27.0041%,27.142%,27.0632%,27.3587%,
0.002,25.1526%,25.9996%,26.9057%,27.0829%,26.945%,27.0041%,27.142%,27.0632%,27.3587%,22.2572%,
0.008,25.9996%,26.9057%,27.0829%,26.945%,27.0041%,27.142%,27.0632%,27.3587%,22.2572%,25.0148%,
0.03125,26.9057%,27.1026%,26.9647%,27.0041%,27.142%,27.0632%,26.945%,25.3693%,24.6011%,24.2663%,
0.125,27.1026%,26.9647%,27.0041%,27.142%,27.0632%,26.945%,25.3693%,24.6011%,24.2663%,23.4784%,
0.5,26.9647%,27.0041%,27.142%,27.0632%,26.945%,25.3693%,24.6011%,24.2663%,23.4784%,22.5724%,
2,27.0041%,27.142%,27.0632%,26.945%,25.3693%,24.6011%,24.2663%,23.4784%,22.5724%,23.5572%,
8,27.142%,27.0632%,26.945%,25.3693%,24.6011%,24.2663%,23.4784%,22.5724%,23.5572%,23.2815%,
32,27.0632%,26.945%,25.3693%,24.6011%,24.2663%,23.4784%,22.5724%,23.5572%,23.2815%,24.1678%,
128,26.945%,25.3693%,24.6011%,24.2663%,23.4784%,22.5724%,23.5572%,23.2815%,24.1678%,22.9269%,
