, 0.03125,0.125,0.5,2,8,32,128,512,2048,8192,32768,
3e-05,17.4654%,14.5507%,15.0576%,16.4977%,18.8825%,20.4263%,21.3134%,21.5899%,21.9009%,22.0853%,22.0161%,
0.0001,14.47%,14.712%,16.371%,18.5599%,20.265%,21.2097%,21.6129%,21.8318%,22.0968%,22.0392%,22.1083%,
0.0005,15.1037%,16.4516%,18.9286%,20.4378%,21.3825%,21.5899%,21.8548%,22.0276%,22.0276%,22.4194%,18.5829%,
0.002,16.4516%,18.9286%,20.4378%,21.3825%,21.5899%,21.8548%,22.0276%,22.0276%,22.4194%,18.5829%,21.659%,
0.008,18.9286%,20.4378%,21.3825%,21.5899%,21.8548%,22.0276%,22.0276%,22.4194%,18.5829%,21.659%,17.9263%,
0.03125,20.4147%,21.3364%,21.6014%,21.8548%,22.0276%,22.0622%,22.0392%,19.8733%,20.4608%,21.0138%,15.9101%,
0.125,21.3364%,21.6014%,21.8548%,22.0276%,22.0622%,22.0392%,19.8733%,20.4608%,21.0138%,15.9101%,17.6152%,
0.5,21.6014%,21.8548%,22.0276%,22.0622%,22.0392%,19.8733%,20.4608%,21.0138%,15.9101%,17.6152%,16.7396%,
2,21.8548%,22.0276%,22.0622%,22.0392%,19.8733%,20.4608%,21.0138%,15.9101%,17.6152%,16.7396%,18.0415%,
8,22.0276%,22.0622%,22.0392%,19.8733%,
