, 0.03125,0.125,0.5,2,8,32,128,512,2048,8192,
3e-05,18.8722%,15.7226%,16.2704%,17.8265%,20.4033%,22.059%,23.03%,23.3039%,23.5777%,23.7396%,
0.0001,15.6355%,15.8969%,17.6895%,20.0548%,21.8847%,22.918%,23.3288%,23.5155%,23.752%,23.6898%,
0.0005,16.3202%,17.7767%,20.4531%,22.0715%,23.1047%,23.279%,23.5155%,23.6898%,23.6026%,24.0881%,
0.002,17.7767%,20.4531%,22.0715%,23.1047%,23.279%,23.5155%,23.6898%,23.6026%,24.0881%,19.7685%,
0.008,20.4531%,22.0715%,23.1047%,23.279%,23.5155%,23.6898%,23.6026%,24.0881%,19.7685%,23.4906%,
0.03125,22.0466%,23.0549%,23.3039%,23.5279%,23.6773%,23.6524%,23.7147%,21.1503%,21.8474%,22.3702%,
0.125,23.0549%,23.3039%,23.5279%,23.6773%,23.6524%,23.7147%,21.1503%,21.8474%,22.3702%,16.9426%,
0.5,23.3039%,23.5279%,23.6773%,23.6524%,23.7147%,21.1503%,21.8474%,22.3702%,16.9426%,19.4572%,
2,23.5279%,23.6773%,23.6524%,23.7147%,21.1503%,21.8474%,22.3702%,16.9426%,
