,0.03125,0.125,0.5,2,8,32,128,512,2048,8192,32768
0.03125,10.37%,13.02%,33.15%,41.88%,43.59%,41.69%,38.46%,34.91%,32.57%,32.25%,31.20%
0.125,13.02%,33.15%,41.88%,43.59%,41.69%,38.46%,34.91%,32.57%,32.25%,31.20%,30.75%
0.5,33.15%,41.88%,43.59%,41.69%,38.46%,34.91%,32.57%,32.25%,31.20%,30.75%,30.51%
2,41.88%,43.59%,41.69%,38.46%,34.91%,32.57%,32.25%,31.20%,30.75%,30.51%,30.50%
8,43.59%,41.69%,38.46%,34.91%,32.57%,32.25%,31.20%,30.75%,30.51%,30.50%,30.50%
32,41.69%,38.46%,34.91%,32.57%,32.25%,31.20%,30.75%,30.51%,30.50%,30.50%,30.51%
128,38.46%,34.91%,32.57%,32.25%,31.20%,30.75%,30.51%,30.50%,30.50%,30.51%,30.58%
43.59%,,,,,,,,,,,
