,0.03125,0.125,0.5,2,8,32,128,512,2048,8192,32768
3.00E-05,31.26%,31.49%,32.29%,34.02%,35.08%,35.35%,35.29%,35.26%,35.20%,35.17%,35.29%
0.0001,31.40%,31.58%,34.16%,35.00%,35.32%,35.44%,35.26%,35.14%,35.20%,35.26%,35.17%
0.0005,32.71%,34.05%,35.23%,35.44%,35.20%,35.26%,35.17%,35.20%,35.35%,35.17%,31.26%
0.002,34.05%,35.23%,35.44%,35.20%,35.26%,35.17%,35.20%,35.35%,35.17%,31.26%,34.13%
0.008,35.23%,35.44%,35.20%,35.26%,35.17%,35.20%,35.35%,35.17%,31.26%,34.13%,31.37%
0.03125,35.38%,35.26%,35.26%,35.11%,35.23%,35.26%,34.88%,33.51%,31.61%,27.55%,33.87%
0.125,35.26%,35.26%,35.11%,35.23%,35.26%,34.88%,33.51%,31.61%,27.55%,33.87%,32.29%
0.5,35.26%,35.11%,35.23%,35.26%,34.88%,33.51%,31.61%,27.55%,33.87%,32.29%,31.52%
2,35.11%,35.23%,35.26%,34.88%,33.51%,31.61%,27.55%,33.87%,32.29%,31.52%,32.24%
8,35.23%,35.26%,34.88%,33.51%,31.61%,27.55%,33.87%,32.29%,31.52%,32.24%,30.37%
32,35.26%,34.88%,33.51%,31.61%,27.55%,33.87%,32.29%,31.52%,32.24%,30.37%,33.01%
128,34.88%,33.51%,31.61%,27.55%,33.87%,32.29%,31.52%,32.24%,30.37%,33.01%,34.82%
35.44%,,,,,,,,,,,
